"start_seconds","edit_size"
0,355
0.734,35
1.706,0
4.407,0
12.046,5
14.844,1085
14.96,405
15.067,-1
17.959,138
17.96,2
19.025,-5
19.275,1204
19.604,-26
21.179,21
21.249,6
21.383,-207
21.406,207
21.969,-4
22.092,92
22.142,0
22.158,0
22.353,1
23.014,122
25.242,-16
25.857,148
26.073,8
26.285,19
26.523,-1
27.082,345
27.56,188
27.707,298
28.526,8
28.85,243
28.942,117
30.912,93
30.944,-36
32.126,-15
34.255,1
34.278,28
35.711,14
36.88,434
37.981,160
39.485,-20
41.228,19
41.464,-1
41.48,-118
44.402,1
45.85,42
50.525,51
51.856,-4
51.859,-31
58.195,55
58.196,251
59.832,219
60.853,18
65.213,273
66.958,19
67.827,6
68.081,0
70.187,-2
70.659,20
70.661,1406
72.899,-46
73.716,259
73.716,-142
74.383,83
74.982,-281
76.709,99
76.709,8
77.294,31
77.307,0
80.984,195
81.086,383
81.827,0
81.845,257
81.864,491
87.827,1
89.125,79
90.428,129
91.047,2
91.267,4541
92.375,200
92.68,-17
92.739,4
93.026,-38
93.734,5
95.48,1
96.631,3
100.352,166
100.392,-60
100.37,-166
105.373,107
106.374,-78
106.413,418
106.546,-49
116.916,31
117.57,-13
119.089,84
119.637,1
123.083,7
125.513,30
125.667,9
127.577,-15
129.779,26
129.846,335
129.849,-335
135.097,593
137.905,12
142.399,-5
142.58,103
143.128,0
143.226,328
144.296,37
145.641,63
146.161,49
146.486,0
147.389,1370
151.519,-7
154.392,69
154.392,-69
156.324,-1
157.658,80
158.308,1298
158.857,501
158.857,774
158.858,132
158.875,-3
161.691,3
162.781,85
164.015,-2
164.026,2
166.787,-31
168.216,6
168.628,-597
169.956,3066
170.037,12
170.937,2
171.183,-46
177.979,-510
178.251,1521
178.484,-15
179.29,516
179.869,-49
180.115,0
181.574,1
182.151,188
183.48,4
184.452,-199
185.145,713
186.962,-68
186.959,900
188.741,-99
189.157,81
191.323,1
193.103,66
193.651,-375
193.651,375
195.669,42
196.174,340
196.55,252
196.621,314
199.118,-395
199.119,6
200.785,43
200.785,-38
201.097,-22
201.319,176
201.319,-235
201.319,55
201.319,4
204.253,-2258
205.507,433
206.057,59
207.248,-19
207.829,43
208.023,21
209.66,-10
209.685,0
210.411,857
212.114,239
213.097,6
213.29,136
213.639,7
213.67,130
214.305,17
215.185,29
215.925,-10
218.355,1024
221.051,45
221.118,4
225.067,2
225.091,283
227.107,16
228.709,-4
229.048,-1
233.498,-55
233.682,16
234.155,198
